iter	Logloss
0	0.6492082589
1	0.6120949321
2	0.5817332641
3	0.558705981
4	0.5383295597
5	0.5218087326
6	0.5093180717
7	0.4978531675
8	0.4904696395
9	0.483486416
10	0.4776507591
11	0.4719623293
12	0.4679247965
13	0.4648953821
14	0.4619659503
15	0.4591705545
16	0.45724386
17	0.4554378923
18	0.4540451684
19	0.4528847569
20	0.4514190175
21	0.4499446305
22	0.4491234069
23	0.4482025365
24	0.4474455489
25	0.4467246218
26	0.4460715858
27	0.4453785489
28	0.4448523575
29	0.4443256196
30	0.4437821814
31	0.4433906553
32	0.4428158252
33	0.4424976765
34	0.4421208806
35	0.441763108
36	0.4412175287
37	0.4407963869
38	0.4404897189
39	0.4402053173
40	0.4399588566
41	0.4396907431
42	0.4394145351
43	0.4391772891
44	0.4388273863
45	0.4386305473
46	0.4383559683
47	0.438122114
48	0.4379106495
49	0.437694952
50	0.4375579108
51	0.4373726384
52	0.4372110316
53	0.4369211449
54	0.4367539883
55	0.4365187029
56	0.4362396614
57	0.4360044793
58	0.4358452529
59	0.4356799982
60	0.4354744822
61	0.4352451961
62	0.4351067023
63	0.4348670948
64	0.4346973252
65	0.4345335448
66	0.4344096432
67	0.4342437821
68	0.4340809733
69	0.4338737529
70	0.4337458949
71	0.4336134737
72	0.4334568316
73	0.4332879112
74	0.4331484055
75	0.4329747101
76	0.4327985993
77	0.4326401568
78	0.4324637788
79	0.4323003619
80	0.4322174009
81	0.4320915618
82	0.4319720096
83	0.4318354446
84	0.431710666
85	0.4315758289
86	0.4314414347
87	0.4312548802
88	0.431132933
89	0.4310211647
90	0.430919948
91	0.4307726861
92	0.4306207761
93	0.4304612668
94	0.4303313342
95	0.4302136988
96	0.4301121018
97	0.4300392965
98	0.4299042524
99	0.4297521697
100	0.4296740596
101	0.4295903116
102	0.4294274306
103	0.4292945179
104	0.4292167032
105	0.4291050731
106	0.4290084967
107	0.4288825943
108	0.4287416826
109	0.4286078411
110	0.4284881981
111	0.4282883
112	0.4281784626
113	0.4280141375
114	0.4278674852
115	0.4277346067
116	0.4276023626
117	0.4274997696
118	0.4273943301
119	0.4272430914
120	0.4271188663
121	0.4269998042
122	0.4268193464
123	0.4267047612
124	0.4266206991
125	0.4265011217
126	0.4264384649
127	0.4262970915
128	0.4261772065
129	0.4260607354
130	0.4259404679
131	0.4258219401
132	0.42571994
133	0.4255832676
134	0.4254398931
135	0.4253262559
136	0.425237844
137	0.4251139596
138	0.4249689119
139	0.4248323189
140	0.4246632862
141	0.424530006
142	0.4244167321
143	0.4243225282
144	0.4241644127
145	0.4240207204
146	0.4238117237
147	0.4237166307
148	0.4236170063
149	0.4235082145
150	0.4233874725
151	0.4233502951
152	0.4232033009
153	0.4230804235
154	0.4229521635
155	0.4228463683
156	0.4227703133
157	0.4226498862
158	0.4225553693
159	0.4224039001
160	0.4223407266
161	0.4221962983
162	0.4220471718
163	0.4218948846
164	0.4217836297
165	0.4216492816
166	0.4215130952
167	0.4214245945
168	0.4213270169
169	0.4211965947
170	0.4211077089
171	0.4210355652
172	0.4209131079
173	0.4208139558
174	0.4207138467
175	0.4205995217
176	0.4205188876
177	0.4204206611
178	0.4202743608
179	0.4201733445
180	0.4200537883
181	0.4198958154
182	0.4198238955
183	0.4197558154
184	0.4196356857
185	0.4195537749
186	0.4194112425
187	0.4193327683
188	0.4192394708
189	0.4192195838
190	0.4190435555
191	0.4189483795
192	0.4188458651
193	0.4187663039
194	0.4186652843
195	0.4185957756
196	0.4184825285
197	0.41834394
198	0.4182515753
199	0.4181542398
200	0.4180245952
201	0.4179124518
202	0.4177941335
203	0.4177018209
204	0.4176240059
205	0.417546223
206	0.4175023366
207	0.4174199952
208	0.4174080551
209	0.4172952377
210	0.4172067517
211	0.417098926
212	0.4169998357
213	0.4169045703
214	0.4168151422
215	0.4167262137
216	0.4167156225
217	0.4165973896
218	0.4164702524
219	0.4163934691
220	0.4163062545
221	0.416252418
222	0.4162436794
223	0.4162094196
224	0.4161599766
225	0.4160430147
226	0.4159346917
227	0.4158464978
228	0.4157196139
229	0.4156014102
230	0.4155146317
231	0.4153775171
232	0.4152648281
233	0.4151687345
234	0.4150375181
235	0.4149495726
236	0.4148255316
237	0.4147539765
238	0.4146516396
239	0.4145585186
240	0.414458109
241	0.4143708749
242	0.4142398531
243	0.4142104756
244	0.4140950634
245	0.4140018386
246	0.4138976464
247	0.4137568241
248	0.4136521594
249	0.4135783903
250	0.4134082293
251	0.4132894417
252	0.4131989599
253	0.4131031486
254	0.412960386
255	0.4128909421
256	0.4128176823
257	0.4127137638
258	0.4126802409
259	0.4126127779
260	0.4124998176
261	0.4123937143
262	0.4123256578
263	0.4122397306
264	0.4121800317
265	0.4120783762
266	0.4119844851
267	0.4118848147
268	0.4117890413
269	0.4117455556
270	0.4116724842
271	0.411554886
272	0.4114716651
273	0.411400759
274	0.4112944104
275	0.4111829098
276	0.4110738548
277	0.4109966246
278	0.4109126422
279	0.4109050284
280	0.4108062827
281	0.4107593463
282	0.410649854
283	0.4105444265
284	0.4104937801
285	0.4104132271
286	0.4103663405
287	0.4102906862
288	0.4102346975
289	0.4101515758
290	0.4100562685
291	0.4099528396
292	0.4098700971
293	0.4097427845
294	0.4096678899
295	0.4095996361
296	0.4094986868
297	0.4094433827
298	0.4093416738
299	0.4092691544
300	0.4091820142
301	0.4091366285
302	0.4090335261
303	0.4089263931
304	0.4088312982
305	0.4087638107
306	0.4086571095
307	0.4085272273
308	0.4084256634
309	0.4083295303
310	0.4082399831
311	0.4081769549
312	0.4080870643
313	0.4080124883
314	0.4079069247
315	0.4078346384
316	0.4077537535
317	0.4076877225
318	0.4076073076
319	0.4075356817
320	0.4074534079
321	0.4074465817
322	0.4073728869
323	0.407292042
324	0.4072748096
325	0.4072563658
326	0.4071857406
327	0.4071101381
328	0.4070272125
329	0.4069695298
330	0.4068628098
331	0.4067820119
332	0.4067276687
333	0.4066498526
334	0.406539422
335	0.4064295838
336	0.4063217181
337	0.4062614815
338	0.4062016622
339	0.4061951429
340	0.406102827
341	0.4060490432
342	0.405976238
343	0.4058992033
344	0.4058032296
345	0.4057261683
346	0.4056618988
347	0.405595216
348	0.4055386475
349	0.4054568224
350	0.4053642174
351	0.4052784686
352	0.405199151
353	0.4051188003
354	0.4050530675
355	0.4049576981
356	0.4048981893
357	0.4048071067
358	0.4047455266
359	0.4046646461
360	0.4046086592
361	0.4045207041
362	0.4044712233
363	0.4044650352
364	0.4043878607
365	0.4043582376
366	0.4042803771
367	0.4042270011
368	0.4041446941
369	0.4040407705
370	0.4039848106
371	0.4039797833
372	0.4039473019
373	0.4038667184
374	0.4037932134
375	0.4036957054
376	0.4036032536
377	0.4035731724
378	0.4035197037
379	0.4034593457
380	0.4034011228
381	0.4033006229
382	0.4032232247
383	0.4031487647
384	0.4030844673
385	0.4030184698
386	0.4029299884
387	0.4028201229
388	0.4027973386
389	0.4027930745
390	0.4027238919
391	0.402664723
392	0.4025813278
393	0.4024977995
394	0.4024420508
395	0.4023612796
396	0.4022751913
397	0.4021926189
398	0.4021324079
399	0.402061055
400	0.4019721503
401	0.4019410397
402	0.401879181
403	0.4017887992
404	0.4016909216
405	0.4016028536
406	0.4015768682
407	0.4014832172
408	0.4013876878
409	0.4013382395
410	0.4013098633
411	0.4012591849
412	0.4011964964
413	0.4011329574
414	0.4011291027
415	0.4010527251
416	0.4009687827
417	0.4009457906
418	0.4008330204
